,user_id,grade_id,sex,height,weight,bmi,usa_routes
268,19484.0,51.0,0,183,73,21.798202394816204,5.12a
269,19712.0,64.0,0,177,68,21.705129432793896,5.13c
270,19722.0,62.0,0,182,73,22.03840115928028,5.13b
271,19808.0,62.0,0,184,83,24.515595463137995,5.13b
272,19942.0,49.0,0,175,68,22.20408163265306,5.11d
273,20011.0,64.0,0,188,73,20.654142145767317,5.13c
274,20069.0,55.0,0,175,68,22.20408163265306,5.12c
275,20101.0,59.0,0,176,63,20.33832644628099,5.13a
277,20180.0,44.0,0,181,58,17.70397729007051,5.11a
278,20210.0,68.0,0,173,63,21.04981790236894,5.14a
279,20367.0,51.0,0,172,58,19.60519199567334,5.12a
280,20416.0,70.0,0,175,68,22.20408163265306,5.14b
281,20421.0,53.0,0,180,63,19.444444444444443,5.12b
282,20430.0,13.0,0,169,58,20.307412205454995,5.3
283,20432.0,70.0,0,179,78,24.343809494085704,5.14b
284,20537.0,53.0,0,182,63,19.01944209636517,5.12b
285,20641.0,33.0,0,166,83,30.120481927710845,5.9
286,20688.0,59.0,0,177,73,23.301094832264035,5.13a
287,20705.0,59.0,0,173,53,17.70857696548498,5.13a
288,20730.0,53.0,0,183,63,18.812147272238644,5.12b
289,20748.0,59.0,0,178,68,21.461936624163616,5.13a
290,20789.0,66.0,0,182,73,22.03840115928028,5.13d
291,20832.0,59.0,0,190,73,20.221606648199447,5.13a
292,20845.0,38.0,0,198,78,19.89592898683808,5.10b
293,20951.0,36.0,0,190,93,25.761772853185597,5.10a
294,20975.0,31.0,0,178,78,24.61810377477591,5.8
295,21022.0,59.0,0,175,68,22.20408163265306,5.13a
296,21099.0,36.0,0,170,63,21.79930795847751,5.10a
297,21103.0,57.0,0,180,63,19.444444444444443,5.12d
300,21223.0,51.0,0,170,68,23.529411764705884,5.12a
302,21351.0,51.0,0,186,78,22.54595907041276,5.12a
303,21421.0,59.0,0,183,83,24.78425751739377,5.13a
305,21662.0,49.0,0,174,58,19.157088122605362,5.11d
306,21674.0,59.0,0,167,63,22.589551436050055,5.13a
307,21698.0,31.0,0,175,78,25.46938775510204,5.8
308,21719.0,51.0,0,182,73,22.03840115928028,5.12a
