,user_id,grade_id,sex,height,weight,bmi,usa_routes
916,59027.0,51.0,1,153,43,18.369003374770386,5.12a
917,59138.0,59.0,1,170,58,20.06920415224914,5.13a
921,59770.0,57.0,1,176,58,18.72417355371901,5.12d
926,60245.0,49.0,1,160,58,22.656249999999996,5.11d
945,61107.0,55.0,1,160,43,16.796874999999996,5.12c
950,61295.0,59.0,1,157,48,19.473406629072173,5.13a
959,61821.0,40.0,1,160,53,20.703124999999996,5.10c
961,61891.0,62.0,1,173,63,21.04981790236894,5.13b
964,62087.0,62.0,1,165,58,21.30394857667585,5.13b
966,62132.0,51.0,1,157,48,19.473406629072173,5.12a
972,62327.0,44.0,1,160,63,24.609374999999996,5.11a
984,62808.0,53.0,1,171,53,18.125235115078144,5.12b
985,62877.0,59.0,1,177,63,20.109164033323754,5.13a
1001,64716.0,33.0,1,1,100,1000000.0,5.9
1013,65200.0,55.0,1,157,48,19.473406629072173,5.12c
1017,65484.0,33.0,1,162,58,22.10028959000152,5.9
